datum,liga,liga_code,saison,team,gegner,vorquote_fair,torniveau_liga_saison,minute_gegentor,modell_p_sieg,modell_faire_quote,lohnt_ab_quote,live_quote_notiert,einsatz,notiert_am,bemerkung,endstand,ergebnis,treffer
2006-09-18,Primeira Liga,P1,0607,sp braga,leiria,1.7153,2.308,8,0.3826,2.61,2.75,,,,,0:1,niederlage,0
2006-09-20,Serie A,I1,0607,palermo,catania,1.6861,2.55,27,0.317,3.16,3.32,,,,,5:3,sieg,1
2006-09-23,Ligue 1,F1,0607,bordeaux,troyes,1.6786,2.25,10,0.3893,2.57,2.71,,,,,2:1,sieg,1
2006-09-23,Scottish Premiership,SC0,0607,hibernian,falkirk,1.714,2.456,9,0.3789,2.64,2.78,,,,,0:1,niederlage,0
2006-09-24,La Liga,SP1,0607,barcelona,valencia,1.6607,2.479,17,0.3674,2.72,2.87,,,,,1:1,unentschieden,0
2006-10-01,Eredivisie,N1,0607,az alkmaar,den haag,1.2988,2.99,5,0.6529,1.53,1.61,,,,,2:2,unentschieden,0
2006-10-01,Eredivisie,N1,0607,feyenoord,nac breda,1.455,2.99,13,0.4949,2.02,2.13,,,,,3:2,sieg,1
2006-10-01,La Liga,SP1,0607,real madrid,ath madrid,1.7931,2.479,6,0.3618,2.76,2.91,,,,,1:1,unentschieden,0
2006-10-01,La Liga,SP1,0607,zaragoza,levante,1.7399,2.479,22,0.3165,3.16,3.33,,,,,2:2,unentschieden,0
2006-10-01,Süper Lig,T1,0607,fenerbahce,bursaspor,1.3724,2.405,16,0.542,1.85,1.94,,,,,0:1,niederlage,0
2006-10-14,Belgien Pro League,B1,0607,standard,roeselare,1.5733,2.784,21,0.391,2.56,2.69,,,,,2:1,sieg,1
2006-10-14,Premier League,E0,0607,Liverpool,blackburn,1.552,2.45,17,0.4193,2.39,2.51,,,,,1:1,unentschieden,0
2006-10-14,Süper Lig,T1,0607,trabzonspor,erciyesspor,1.5327,2.405,10,0.4607,2.17,2.29,,,,,3:1,sieg,1
2006-10-15,Serie A,I1,0607,inter,catania,1.2888,2.55,16,0.6168,1.62,1.71,,,,,2:1,sieg,1
2006-10-15,Serie A,I1,0607,palermo,atalanta,1.6978,2.55,13,0.3687,2.71,2.86,,,,,2:3,niederlage,0
2006-10-15,Eredivisie,N1,0607,psv eindhoven,roda jc,1.5367,2.99,4,0.4852,2.06,2.17,,,,,4:1,sieg,1
2006-10-20,Bundesliga,D1,0607,dortmund,bochum,1.552,2.735,30,0.3639,2.75,2.89,,,,,1:1,unentschieden,0
2006-10-21,Scottish Premiership,SC0,0607,hearts,kilmarnock,1.6283,2.456,28,0.3364,2.97,3.13,,,,,0:2,niederlage,0
2006-10-22,Primeira Liga,P1,0607,benfica,est amadora,1.366,2.308,14,0.556,1.8,1.89,,,,,3:1,sieg,1
2006-10-25,Serie A,I1,0607,palermo,messina,1.6143,2.55,7,0.4314,2.32,2.44,,,,,2:1,sieg,1
2006-10-25,Serie A,I1,0607,roma,ascoli,1.3462,2.55,22,0.5373,1.86,1.96,,,,,2:2,unentschieden,0
2006-10-28,Premier League,E0,0607,Arsenal,Everton,1.5056,2.45,11,0.472,2.12,2.23,,,,,1:1,unentschieden,0
2006-10-28,Ligue 1,F1,0607,bordeaux,sedan,1.6719,2.25,18,0.3586,2.79,2.94,,,,,3:1,sieg,1
2006-10-29,Primeira Liga,P1,0607,sp braga,maritimo,1.7771,2.308,4,0.3759,2.66,2.8,,,,,1:4,niederlage,0
2006-11-04,Bundesliga,D1,0607,leverkusen,mainz,1.6143,2.735,29,0.3385,2.95,3.11,,,,,1:1,unentschieden,0
2006-11-04,Primeira Liga,P1,0607,boavista,aves,1.6214,2.308,8,0.4236,2.36,2.49,,,,,2:1,sieg,1
2006-11-05,La Liga,SP1,0607,villarreal,betis,1.7901,2.479,4,0.3712,2.69,2.84,,,,,3:2,sieg,1
2006-11-10,Bundesliga,D1,0607,werder bremen,dortmund,1.552,2.735,7,0.4633,2.16,2.27,,,,,1:3,niederlage,0
2006-11-11,Serie A,I1,0607,fiorentina,atalanta,1.7901,2.55,25,0.2885,3.47,3.65,,,,,3:1,sieg,1
2006-11-11,Süper Lig,T1,0607,besiktas,sivasspor,1.3971,2.405,15,0.5271,1.9,2.0,,,,,0:1,niederlage,0
