match_id,league,league_name,season,season_name,date,time,home_team,away_team,home_team_raw,away_team_raw,fthg,ftag,ftr,hthg,htag,hr,ar,b365h,b365d,b365a
I1-2122-2021-12-22-verona-fiorentina,I1,Serie A,2122,2021/22,2021-12-22,17:30,verona,fiorentina,Verona,Fiorentina,1,1,D,1,0,0,0,2.9,3.5,2.37
I1-2122-2021-12-22-empoli-milan,I1,Serie A,2122,2021/22,2021-12-22,19:45,empoli,milan,Empoli,Milan,2,4,A,1,2,0,0,4.5,3.9,1.75
I1-2122-2021-12-22-napoli-spezia,I1,Serie A,2122,2021/22,2021-12-22,19:45,napoli,spezia,Napoli,Spezia,0,1,A,0,1,0,0,1.22,6.5,12
I1-2122-2022-01-06-sampdoria-cagliari,I1,Serie A,2122,2021/22,2022-01-06,11:30,sampdoria,cagliari,Sampdoria,Cagliari,1,2,A,1,0,1,0,1.85,3.75,4
I1-2122-2022-01-06-lazio-empoli,I1,Serie A,2122,2021/22,2022-01-06,13:30,lazio,empoli,Lazio,Empoli,3,3,D,1,2,0,0,1.6,4.4,5
I1-2122-2022-01-06-spezia-verona,I1,Serie A,2122,2021/22,2022-01-06,13:30,spezia,verona,Spezia,Verona,1,2,A,0,0,1,0,3.5,3.5,2.05
I1-2122-2022-01-06-sassuolo-genoa,I1,Serie A,2122,2021/22,2022-01-06,15:30,sassuolo,genoa,Sassuolo,Genoa,1,1,D,0,1,0,0,1.57,4.33,5.25
I1-2122-2022-01-06-milan-roma,I1,Serie A,2122,2021/22,2022-01-06,17:30,milan,roma,Milan,Roma,3,1,H,2,1,0,2,1.9,3.7,3.8
I1-2122-2022-01-06-juventus-napoli,I1,Serie A,2122,2021/22,2022-01-06,19:45,juventus,napoli,Juventus,Napoli,1,1,D,0,1,0,0,1.9,3.6,4
I1-2122-2022-01-09-empoli-sassuolo,I1,Serie A,2122,2021/22,2022-01-09,11:30,empoli,sassuolo,Empoli,Sassuolo,1,5,A,1,2,1,0,2.5,3.8,2.55
I1-2122-2022-01-09-venezia-milan,I1,Serie A,2122,2021/22,2022-01-09,11:30,venezia,milan,Venezia,Milan,0,3,A,0,1,1,0,6,4,1.57
I1-2122-2022-01-09-napoli-sampdoria,I1,Serie A,2122,2021/22,2022-01-09,15:30,napoli,sampdoria,Napoli,Sampdoria,1,0,H,1,0,0,0,1.4,5,7.5
I1-2122-2022-01-09-udinese-atalanta,I1,Serie A,2122,2021/22,2022-01-09,15:30,udinese,atalanta,Udinese,Atalanta,2,6,A,0,3,0,0,3.5,3.6,2.05
I1-2122-2022-01-09-genoa-spezia,I1,Serie A,2122,2021/22,2022-01-09,17:30,genoa,spezia,Genoa,Spezia,0,1,A,0,1,0,0,2.1,3.3,3.6
I1-2122-2022-01-09-roma-juventus,I1,Serie A,2122,2021/22,2022-01-09,17:30,roma,juventus,Roma,Juventus,3,4,A,1,1,0,1,3.3,3.5,2.15
I1-2122-2022-01-09-inter-lazio,I1,Serie A,2122,2021/22,2022-01-09,19:45,inter,lazio,Inter,Lazio,2,1,H,1,1,0,0,1.4,5,7
I1-2122-2022-01-09-verona-salernitana,I1,Serie A,2122,2021/22,2022-01-09,19:45,verona,salernitana,Verona,Salernitana,1,2,A,0,1,1,0,1.36,5,8
I1-2122-2022-01-10-torino-fiorentina,I1,Serie A,2122,2021/22,2022-01-10,16:00,torino,fiorentina,Torino,Fiorentina,4,0,H,3,0,0,0,,,
I1-2122-2022-01-11-cagliari-bologna,I1,Serie A,2122,2021/22,2022-01-11,19:45,cagliari,bologna,Cagliari,Bologna,2,1,H,0,0,0,0,2.75,3.3,2.55
I1-2122-2022-01-15-sampdoria-torino,I1,Serie A,2122,2021/22,2022-01-15,14:00,sampdoria,torino,Sampdoria,Torino,1,2,A,1,1,0,0,3,3.2,2.45
I1-2122-2022-01-15-salernitana-lazio,I1,Serie A,2122,2021/22,2022-01-15,17:00,salernitana,lazio,Salernitana,Lazio,0,3,A,0,2,0,0,7,4.5,1.45
I1-2122-2022-01-15-juventus-udinese,I1,Serie A,2122,2021/22,2022-01-15,19:45,juventus,udinese,Juventus,Udinese,2,0,H,1,0,0,0,1.4,4.75,7.5
I1-2122-2022-01-16-sassuolo-verona,I1,Serie A,2122,2021/22,2022-01-16,11:30,sassuolo,verona,Sassuolo,Verona,2,4,A,0,2,0,0,2.2,3.5,3.2
I1-2122-2022-01-16-venezia-empoli,I1,Serie A,2122,2021/22,2022-01-16,14:00,venezia,empoli,Venezia,Empoli,1,1,D,0,1,0,0,2.62,3.5,2.55
I1-2122-2022-01-16-roma-cagliari,I1,Serie A,2122,2021/22,2022-01-16,17:00,roma,cagliari,Roma,Cagliari,1,0,H,1,0,0,0,1.36,5,8.5
I1-2122-2022-01-16-atalanta-inter,I1,Serie A,2122,2021/22,2022-01-16,19:45,atalanta,inter,Atalanta,Inter,0,0,D,0,0,0,0,2.87,3.75,2.3
I1-2122-2022-01-17-bologna-napoli,I1,Serie A,2122,2021/22,2022-01-17,17:30,bologna,napoli,Bologna,Napoli,0,2,A,0,1,0,0,4,3.4,1.95
I1-2122-2022-01-17-milan-spezia,I1,Serie A,2122,2021/22,2022-01-17,17:30,milan,spezia,Milan,Spezia,1,2,A,1,0,0,0,1.33,5,9.5
I1-2122-2022-01-17-fiorentina-genoa,I1,Serie A,2122,2021/22,2022-01-17,19:45,fiorentina,genoa,Fiorentina,Genoa,6,0,H,3,0,0,0,1.45,4.2,7.5
I1-2122-2022-01-21-verona-bologna,I1,Serie A,2122,2021/22,2022-01-21,19:45,verona,bologna,Verona,Bologna,2,1,H,1,1,0,0,1.95,3.6,3.8
I1-2122-2022-01-22-genoa-udinese,I1,Serie A,2122,2021/22,2022-01-22,14:00,genoa,udinese,Genoa,Udinese,0,0,D,0,0,1,0,3.5,3.3,2.15
I1-2122-2022-01-22-inter-venezia,I1,Serie A,2122,2021/22,2022-01-22,17:00,inter,venezia,Inter,Venezia,2,1,H,1,1,0,0,1.1,9.5,21
